team,current_workbook_rating,current_disposition,exact_trigger,expected_trigger_date,information_source_to_monitor,potential_adjustment_direction,max_reasonable_adjustment_range,owner_action_required,last_verified_date
Ole Miss,+17.52,DEFER - PROVISIONAL DOWNGRADE CANDIDATE,OC confirmed AND offensive play-caller confirmed AND camp role distribution confirmed AND no major QB/OL injury,Unknown (camp opens 2026-08-06),Ole Miss athletics releases; Golding pressers; Rebel Walk / SI Ole Miss beat coverage,Down,-0.5 to -1.0,Approve/reject the provisional override once all four trigger conditions are confirmed,2026-08-03
Vanderbilt,+9.81,DEFER,Starting QB announced (Curtis vs Berlowitz),Unknown (Lea said battle may extend to the opener),Vanderbilt athletics; Clark Lea pressers; WSMV / SI Vanderbilt beat coverage,Either or none - reassess named starter vs baseline,±0.5,Review note after naming; decide whether any adjustment is warranted,2026-08-03
Texas Tech,+22.35,DEFER,Formal medical clearance of Will Hammond AND confirmed Week 1 starter status,~2026-08-21 (nine-month ACL mark per ESPN/On3),Texas Tech athletics; Joey McGuire pressers; ESPN / On3 Red Raider coverage,Down only on setback; none on clean clearance,0 to -1.0 (setback only),Review note at clearance; close the item if cleared clean,2026-08-03
Florida,+15.18,DEFER,Starting QB announced (Jones Jr. vs Philo vs Griffin),Unknown (Sumrall has given no timeline),Florida athletics; Sumrall pressers; Alligator / Tampa Bay Times beat coverage,Either or none - reassess named starter vs baseline,±0.5,Review note after naming,2026-08-03
Tennessee,+16.06,DEFER,Starting QB announced (MacIntyre vs Brandon),Unknown,Tennessee athletics; Heupel pressers; local beat coverage,Either or none - reassess named starter vs baseline,±0.5,Review note after naming,2026-08-03
Alabama,+19.82,DEFER,Starting QB announced (Russell vs Mack),Unknown (DeBoer: could extend well into camp),Alabama athletics; DeBoer pressers; SI Alabama / tdalabamamag beat coverage,Either or none - no presumption of adjustment,±0.5,Review note after naming,2026-08-03
UTSA,-2.65,HOLD (conditional - recheck triggers defined),Meaningful market movement OR major roster/QB development OR early opponent-adjusted overperformance,Unknown,Win-total/conference odds; UTSA athletics; early-season results,Up (if triggers fire),+0.5 max,None unless a trigger fires,2026-08-03
UNLV,+1.88,HOLD (conditional - recheck triggers defined),Material MWC odds movement OR Arnold role/performance change OR major injury OR early opponent-adjusted support,Unknown,MWC odds; UNLV athletics; Mullen pressers; early-season results,Up (if triggers fire),+0.5 max,None unless a trigger fires,2026-08-03
LSU,+20.75,HOLD,Generic material news only (major injury or roster event),Unknown,LSU athletics; Kiffin pressers,None,0,None,2026-08-03 (last full verification Phase 7A/7B same day)
South Carolina,+12.19,HOLD,Generic material news only,Unknown,South Carolina athletics; Beamer pressers,None,0,None,2026-08-03 (last full verification Phase 7A same day)
Florida Atlantic,-8.73,HOLD,Win total moves to 6.5+ OR dominant early results (generic threshold),Unknown,Win-total markets; FAU athletics,None (up only if market moves),0 (+0.5 only on market confirmation),None,2026-08-03
Indiana,+25.18,HOLD,Generic material news only (injury),Unknown,Indiana athletics; Cignetti pressers,None,0,None,2026-08-03
Tulane,-1.92,DEFER (Group 2),Starting QB named (Semonza vs Chriss-Gremillion) AND OL starting five settled,Unknown,Tulane athletics; Will Hall pressers; nola.com; Underdog Dynasty,Either or none - reassess named starter vs baseline,±0.5,Review note after naming,2026-08-03
Memphis,-1.26,DEFER (Group 2),Starting QB named,Unknown,Memphis athletics; Charles Huff pressers; AAC coverage,None expected - tightest source spread in group (1.28),±0.5,Review note after naming,2026-08-03
South Florida,-1.82,DEFER (Group 2),Starting QB named (Kromenhoek / Van Buren Jr. / Cooper),Unknown,USF athletics; Brian Hartline pressers; AAC coverage,Either or none,±0.5,Review note after naming,2026-08-03
Southern Miss,-15.39,DEFER (Group 2),2026 head coach identity confirmed from a reliable source AND starting QB named,Unknown,Southern Miss athletics official releases; Sun Belt coverage; SuperTalk Mississippi,Unknown - genuine unresolved source conflict (rank gap 44 survives scale correction),Unknown until HC/QB verified,Verify HC identity; then reassess,2026-08-03
